# Kaimal 1972 / Eurocode 1
time_s,U_ms,u_turbulent_ms,F_drag_N
11.6000,21.0364,1.0364,1626.3016
11.6500,21.1600,1.1600,1645.4623
11.7000,19.0896,-0.9104,1339.2208
11.7500,20.4635,0.4635,1538.9228
11.8000,22.6028,2.6028,1877.5065
11.8500,22.8757,2.8757,1923.1170
11.9000,22.3566,2.3566,1836.8322
11.9500,23.5915,3.5915,2045.3473
12.0000,24.2884,4.2884,2167.9846
12.0500,23.8616,3.8616,2092.4606
12.1000,21.0842,1.0842,1633.6938
12.1500,20.7647,0.7647,1584.5536
12.2000,19.7381,-0.2619,1431.7518
12.2500,21.2551,1.2551,1660.2864
12.3000,24.1343,4.1343,2140.5582
12.3500,25.1125,5.1125,2317.5884
12.4000,26.7358,6.7358,2626.8999
12.4500,25.6601,5.6601,2419.7644
12.5000,27.2547,7.2547,2729.8607
12.5500,28.1195,8.1195,2905.8432
12.6000,30.0681,10.0681,3322.5434
12.6500,28.9776,8.9776,3085.9060
12.7000,25.7237,5.7237,2431.7825
12.7500,24.6601,4.6601,2234.8481
12.8000,23.7498,3.7498,2072.9014
12.8500,26.4535,6.4535,2571.7231
12.9000,27.1168,7.1168,2702.3100
12.9500,27.3292,7.3292,2744.8032
13.0000,26.2792,6.2792,2537.9348
13.0500,25.9924,5.9924,2482.8395
13.1000,24.6393,4.6393,2231.0678
13.1500,24.4525,4.4525,2197.3664
13.2000,24.2827,4.2827,2166.9667
13.2500,26.1624,6.1624,2515.4352
13.3000,25.0471,5.0471,2305.5417
13.3500,24.4175,4.4175,2191.0813
13.4000,23.7606,3.7606,2074.7888
13.4500,23.1436,3.1436,1968.4247
13.5000,20.9772,0.9772,1617.1647
13.5500,22.4750,2.4750,1856.3437
13.6000,21.2378,1.2378,1657.5923
13.6500,19.4232,-0.5768,1386.4352
13.7000,18.1800,-1.8200,1214.6337
13.7500,19.6776,-0.3224,1422.9881
13.8000,22.8710,2.8710,1922.3273
13.8500,22.8578,2.8578,1920.1124
13.9000,22.2477,2.2477,1818.9797
13.9500,23.1994,3.1994,1977.9326
14.0000,25.0483,5.0483,2305.7541
14.0500,27.1378,7.1378,2706.4894
14.1000,27.7487,7.7487,2829.7117
14.1500,25.8838,5.8838,2462.1463
14.2000,25.6520,5.6520,2418.2508
14.2500,24.7388,4.7388,2249.1345
14.3000,22.3641,2.3641,1838.0658
