# Davenport 1961
time_s,U_ms,u_turbulent_ms,F_drag_N
15.4000,23.6951,3.6951,2063.3554
15.4500,22.6334,2.6334,1882.5904
15.5000,21.2572,1.2572,1660.6141
15.5500,20.5090,0.5090,1545.7789
15.6000,21.3552,1.3552,1675.9673
15.6500,22.4751,2.4751,1856.3502
15.7000,22.8992,2.8992,1927.0654
15.7500,23.0015,3.0015,1944.3221
15.8000,22.9092,2.9092,1928.7580
15.8500,22.1809,2.1809,1808.0711
15.9000,23.1375,3.1375,1967.3891
15.9500,24.0176,4.0176,2119.8990
16.0000,24.1981,4.1981,2151.8889
16.0500,24.1679,4.1679,2146.5131
16.1000,25.1270,5.1270,2320.2654
16.1500,25.4683,5.4683,2383.7300
16.2000,24.7743,4.7743,2255.5825
16.2500,23.8683,3.8683,2093.6387
16.3000,23.4366,3.4366,2018.5898
16.3500,21.4570,1.4570,1691.9798
16.4000,21.1296,1.1296,1640.7425
16.4500,19.8290,-0.1710,1444.9763
16.5000,19.9385,-0.0615,1460.9787
16.5500,21.3103,1.3103,1668.9166
16.6000,22.0961,2.0961,1794.2790
16.6500,20.9531,0.9531,1613.4487
16.7000,19.6160,-0.3840,1414.1010
16.7500,17.1639,-2.8361,1082.6517
16.8000,17.5779,-2.4221,1135.5152
16.8500,19.1186,-0.8814,1343.2846
16.9000,20.5538,0.5538,1552.5361
16.9500,19.8242,-0.1758,1444.2702
17.0000,22.3430,2.3430,1834.6022
17.0500,24.2244,4.2244,2156.5620
17.1000,22.2977,2.2977,1827.1559
17.1500,22.3965,2.3965,1843.3966
17.2000,22.4001,2.4001,1843.9841
17.2500,22.4767,2.4767,1856.6160
17.3000,23.1631,3.1631,1971.7393
17.3500,22.4320,2.4320,1849.2471
17.4000,21.5601,1.5601,1708.2781
17.4500,20.4596,0.4596,1538.3400
17.5000,18.7076,-1.2924,1286.1499
17.5500,19.5552,-0.4448,1405.3471
17.6000,20.9763,0.9763,1617.0210
17.6500,20.6256,0.6256,1563.3960
17.7000,20.2471,0.2471,1506.5458
17.7500,20.2256,0.2256,1503.3505
17.8000,21.6866,1.6866,1728.3882
17.8500,21.6620,1.6620,1724.4624
17.9000,20.9184,0.9184,1608.1082
17.9500,21.0046,1.0046,1621.3812
18.0000,20.7178,0.7178,1577.4106
18.0500,22.3480,2.3480,1835.4137
18.1000,22.9583,2.9583,1937.0337
18.1500,21.7013,1.7013,1730.7235
18.2000,21.3000,1.3000,1667.3165
18.2500,21.1180,1.1180,1638.9444
18.3000,22.6768,2.6768,1889.8174
18.3500,23.7915,3.7915,2080.1826
18.4000,20.9240,0.9240,1608.9606
18.4500,20.1844,0.1844,1497.2386
18.5000,19.2825,-0.7175,1366.4227
18.5500,20.3003,0.3003,1514.4794
18.6000,20.6043,0.6043,1560.1684
18.6500,19.9515,-0.0485,1462.8851
18.7000,19.6077,-0.3923,1412.9039
18.7500,21.5500,1.5500,1706.6834
18.8000,19.9704,-0.0296,1465.6574
18.8500,19.3921,-0.6079,1381.9908
18.9000,18.2124,-1.7876,1218.9702
18.9500,17.8088,-2.1912,1165.5445
19.0000,17.1164,-2.8836,1076.6694
19.0500,15.9479,-4.0521,934.6796
19.1000,16.7391,-3.2609,1029.7247
19.1500,16.8618,-3.1382,1044.8727
19.2000,15.6692,-4.3308,902.2954
19.2500,14.3656,-5.6344,758.4161
19.3000,14.9642,-5.0358,822.9355
19.3500,15.4950,-4.5050,882.3484
19.4000,15.3418,-4.6582,864.9848
19.4500,13.9369,-6.0631,713.8190
19.5000,14.9855,-5.0145,825.2728
19.5500,15.3057,-4.6943,860.9230
19.6000,17.3772,-2.6228,1109.7293
19.6500,16.6163,-3.3837,1014.6723
19.7000,17.4823,-2.5177,1123.1883
19.7500,17.6133,-2.3867,1140.0861
19.8000,16.0720,-3.9280,949.2921
19.8500,15.2110,-4.7890,850.3020
19.9000,16.0688,-3.9312,948.9108
19.9500,16.9786,-3.0214,1059.4043
20.0000,18.4785,-1.5215,1254.8454
20.0500,18.6619,-1.3381,1279.8739
20.1000,19.3644,-0.6356,1378.0574
20.1500,20.9164,0.9164,1607.7991
20.2000,20.0727,0.0727,1480.7081
20.2500,19.3863,-0.6137,1381.1662
20.3000,20.7086,0.7086,1576.0144
20.3500,20.1856,0.1856,1497.4140
20.4000,20.3377,0.3377,1520.0625
20.4500,20.7738,0.7738,1585.9494
20.5000,21.0921,1.0921,1634.9294
20.5500,21.6925,1.6925,1729.3227
20.6000,20.6234,0.6234,1563.0680
20.6500,21.4996,1.4996,1698.7008
20.7000,22.0122,2.0122,1780.6695
20.7500,20.8179,0.8179,1592.6876
20.8000,20.1365,0.1365,1490.1387
20.8500,21.4304,1.4304,1687.7847
20.9000,21.9407,1.9407,1769.1195
20.9500,21.4768,1.4768,1695.1032
21.0000,21.3623,1.3623,1677.0803
21.0500,20.7465,0.7465,1581.7814
21.1000,21.8308,1.8308,1751.4471
21.1500,23.1544,3.1544,1970.2620
21.2000,22.2211,2.2211,1814.6312
21.2500,20.6695,0.6695,1570.0594
21.3000,18.6973,-1.3027,1284.7402
21.3500,17.3494,-2.6506,1106.1785
21.4000,17.9527,-2.0473,1184.4442
21.4500,17.0977,-2.9023,1074.3186
21.5000,18.4538,-1.5462,1251.4917
21.5500,18.0686,-1.9314,1199.7908
21.6000,17.8364,-2.1636,1169.1522
21.6500,18.6612,-1.3388,1279.7775
21.7000,19.1911,-0.8089,1353.4916
21.7500,20.0254,0.0254,1473.7385
21.8000,19.8466,-0.1534,1447.5318
21.8500,19.8492,-0.1508,1447.9170
21.9000,19.1568,-0.8432,1348.6641
21.9500,19.0211,-0.9789,1329.6274
22.0000,20.9099,0.9099,1606.7904
22.0500,22.8247,2.8247,1914.5477
22.1000,23.8547,3.8547,2091.2403
22.1500,24.7362,4.7362,2248.6624
22.2000,24.4476,4.4476,2196.4884
22.2500,24.7485,4.7485,2250.8950
22.3000,24.3688,4.3688,2182.3475
22.3500,23.7251,3.7251,2068.5928
22.4000,24.8247,4.8247,2264.7737
22.4500,26.9717,6.9717,2673.4644
22.5000,26.5872,6.5872,2597.7834
22.5500,27.7481,7.7481,2829.5984
22.6000,27.0556,7.0556,2690.1176
22.6500,26.3172,6.3172,2545.2924
22.7000,26.9887,6.9887,2676.8239
22.7500,27.6706,7.6706,2813.8022
22.8000,29.2854,9.2854,3151.8085
22.8500,27.6858,7.6858,2816.9080
22.9000,26.1478,6.1478,2512.6254
22.9500,28.1107,8.1107,2904.0257
23.0000,27.7186,7.7186,2823.5777
23.0500,26.4109,6.4109,2563.4490
23.1000,27.5560,7.5560,2790.5438
23.1500,26.7178,6.7178,2623.3718
23.2000,25.7632,5.7632,2439.2551
23.2500,25.8059,5.8059,2447.3371
23.3000,25.6839,5.6839,2424.2641
23.3500,27.2906,7.2906,2737.0631
23.4000,27.8390,7.8390,2848.1659
23.4500,28.6813,8.6813,3023.1190
23.5000,27.9249,7.9249,2865.7667
23.5500,26.4070,6.4070,2562.6793
23.6000,25.9442,5.9442,2473.6497
23.6500,24.8016,4.8016,2260.5658
23.7000,25.3065,5.3065,2353.5319
23.7500,25.4410,5.4410,2378.6153
23.8000,25.8731,5.8731,2460.1000
23.8500,25.9659,5.9659,2477.7827
23.9000,24.2534,4.2534,2161.7444
23.9500,24.1045,4.1045,2135.2828
24.0000,24.7226,4.7226,2246.1941
24.0500,25.0338,5.0338,2303.0830
24.1000,25.4250,5.4250,2375.6297
24.1500,25.5015,5.5015,2389.9515
24.2000,26.2981,6.2981,2541.5887
24.2500,27.5004,7.5004,2779.3078
24.3000,26.9807,6.9807,2675.2467
24.3500,25.4749,5.4749,2384.9594
24.4000,25.5000,5.5000,2389.6597
24.4500,26.5628,6.5628,2593.0175
24.5000,26.7009,6.7009,2620.0497
24.5500,26.0874,6.0874,2501.0360
24.6000,25.5675,5.5675,2402.3419
24.6500,24.8111,4.8111,2262.2941
24.7000,24.7738,4.7738,2255.4967
24.7500,25.8568,5.8568,2457.0129
24.8000,25.7220,5.7220,2431.4503
24.8500,24.4414,4.4414,2195.3798
24.9000,24.7280,4.7280,2247.1743
24.9500,23.5987,3.5987,2046.6043
25.0000,22.6274,2.6274,1881.5905
25.0500,22.9320,2.9320,1932.6042
25.1000,22.6932,2.6932,1892.5562
25.1500,22.4262,2.4262,1848.2874
25.2000,22.2480,2.2480,1819.0244
25.2500,21.9937,1.9937,1777.6818
25.3000,19.3989,-0.6011,1382.9722
25.3500,21.1170,1.1170,1638.7863
25.4000,21.2449,1.2449,1658.6976
25.4500,20.9567,0.9567,1614.0045
25.5000,21.1577,1.1577,1645.1082
25.5500,19.2169,-0.7831,1357.1322
25.6000,18.5877,-1.4123,1269.7168
25.6500,18.0962,-1.9038,1203.4596
25.7000,17.7934,-2.2066,1163.5265
25.7500,17.8098,-2.1902,1165.6636
25.8000,18.6630,-1.3370,1280.0344
25.8500,20.3538,0.3538,1522.4711
25.9000,19.5870,-0.4130,1409.9170
25.9500,19.6515,-0.3485,1419.2158
26.0000,18.3713,-1.6287,1240.3329
26.0500,19.3306,-0.6694,1373.2437
26.1000,20.5090,0.5090,1545.7746
26.1500,23.5071,3.5071,2030.7419
26.2000,22.6904,2.6904,1892.0811
26.2500,23.3061,3.3061,1996.1608
26.3000,24.2693,4.2693,2164.5732
26.3500,23.2689,3.2689,1989.7968
26.4000,23.0601,3.0601,1954.2466
26.4500,24.0955,4.0955,2133.6786
26.5000,24.2823,4.2823,2166.8881
26.5500,23.8462,3.8462,2089.7600
26.6000,24.2009,4.2009,2152.3926
26.6500,23.1636,3.1636,1971.8292
26.7000,23.9280,3.9280,2104.1212
26.7500,25.2651,5.2651,2345.8459
26.8000,23.9052,3.9052,2100.1140
26.8500,24.5840,4.5840,2221.0630
26.9000,23.7704,3.7704,2076.4851
26.9500,22.8376,2.8376,1916.7254
27.0000,23.3411,3.3411,2002.1731
27.0500,22.9031,2.9031,1927.7314
27.1000,22.0102,2.0102,1780.3568
27.1500,20.9759,0.9759,1616.9639
27.2000,21.0074,1.0074,1621.8106
27.2500,20.3248,0.3248,1518.1260
27.3000,19.5867,-0.4133,1409.8682
27.3500,20.6521,0.6521,1567.4142
27.4000,20.5368,0.5368,1549.9745
27.4500,20.1340,0.1340,1489.7651
27.5000,20.5724,0.5724,1555.3503
27.5500,20.6986,0.6986,1574.4904
27.6000,19.2237,-0.7763,1358.0965
27.6500,19.7444,-0.2556,1432.6615
27.7000,21.4637,1.4637,1693.0381
27.7500,21.8306,1.8306,1751.4127
27.8000,21.5288,1.5288,1703.3286
27.8500,19.7588,-0.2412,1434.7543
27.9000,21.2584,1.2584,1660.8044
27.9500,21.8338,1.8338,1751.9234
28.0000,22.9560,2.9560,1936.6519
28.0500,21.8990,1.8990,1762.3998
28.1000,22.0089,2.0089,1780.1382
28.1500,23.0221,3.0221,1947.8053
28.2000,23.3807,3.3807,2008.9636
28.2500,23.5906,3.5906,2045.1949
28.3000,22.8963,2.8963,1926.5796
28.3500,21.3801,1.3801,1679.8771
28.4000,20.7682,0.7682,1585.0989
28.4500,21.5588,1.5588,1708.0667
28.5000,21.8022,1.8022,1746.8605
28.5500,20.9880,0.9880,1618.8188
28.6000,19.5514,-0.4486,1404.7924
28.6500,18.7874,-1.2126,1297.1470
28.7000,18.5084,-1.4916,1258.9066
28.7500,18.6934,-1.3066,1284.2055
28.8000,19.3329,-0.6671,1373.5720
28.8500,20.2846,0.2846,1512.1387
28.9000,20.5364,0.5364,1549.9071
28.9500,20.5504,0.5504,1552.0231
29.0000,19.7195,-0.2805,1429.0601
29.0500,18.2413,-1.7587,1222.8313
29.1000,16.1214,-3.8786,955.1276
29.1500,15.7265,-4.2735,908.9159
29.2000,16.4693,-3.5307,996.7958
29.2500,17.1383,-2.8617,1079.4210
29.3000,16.4590,-3.5410,995.5502
29.3500,17.9650,-2.0350,1186.0722
29.4000,18.0368,-1.9632,1195.5771
29.4500,18.5908,-1.4092,1270.1452
29.5000,19.6591,-0.3409,1420.3179
29.5500,18.7067,-1.2933,1286.0257
29.6000,18.0655,-1.9345,1199.3796
29.6500,19.7474,-0.2526,1433.1045
29.7000,20.8247,0.8247,1593.7340
29.7500,21.5388,1.5388,1704.9132
29.8000,20.7773,0.7773,1586.4806
29.8500,21.0832,1.0832,1633.5363
29.9000,20.9775,0.9775,1617.2078
29.9500,21.5746,1.5746,1710.5842
30.0000,21.7641,1.7641,1740.7522
30.0500,21.4996,1.4996,1698.7056
30.1000,23.3501,3.3501,2003.7072
30.1500,24.3908,4.3908,2186.3068
30.2000,24.4358,4.4358,2194.3807
30.2500,23.2153,3.2153,1980.6477
30.3000,23.4988,3.4988,2029.3165
30.3500,23.3645,3.3645,2006.1750
30.4000,23.9344,3.9344,2105.2375
30.4500,24.8567,4.8567,2270.6214
30.5000,26.2143,6.2143,2525.4135
30.5500,26.5613,6.5613,2592.7169
30.6000,24.4729,4.4729,2201.0376
30.6500,24.5720,4.5720,2218.9040
30.7000,24.3039,4.3039,2170.7441
30.7500,25.8899,5.8899,2463.3015
30.8000,24.1149,4.1149,2137.1116
30.8500,24.6235,4.6235,2228.2080
30.9000,26.8509,6.8509,2649.5722
30.9500,27.1325,7.1325,2705.4364
31.0000,27.0275,7.0275,2684.5300
31.0500,26.6999,6.6999,2619.8552
31.1000,27.0311,7.0311,2685.2559
31.1500,26.2190,6.2190,2526.3242
31.2000,26.5202,6.5202,2584.7114
31.2500,24.6025,4.6025,2224.4181
31.3000,23.9091,3.9091,2100.8011
31.3500,23.1624,3.1624,1971.6323
31.4000,25.1771,5.1771,2329.5311
31.4500,26.8541,6.8541,2650.1930
31.5000,25.2473,5.2473,2342.5477
31.5500,26.5259,6.5259,2585.8154
31.6000,26.0514,6.0514,2494.1407
31.6500,25.5402,5.5402,2397.2032
31.7000,24.4590,4.4590,2198.5424
31.7500,23.5892,3.5892,2044.9592
31.8000,23.3329,3.3329,2000.7669
31.8500,23.5308,3.5308,2034.8458
31.9000,22.9503,2.9503,1935.6827
31.9500,22.7037,2.7037,1894.3097
32.0000,24.0984,4.0984,2134.1924
32.0500,23.3396,3.3396,2001.9089
32.1000,22.0925,2.0925,1793.6810
32.1500,21.5503,1.5503,1706.7298
32.2000,22.7452,2.7452,1901.2332
32.2500,24.9496,4.9496,2287.6290
32.3000,26.1464,6.1464,2512.3557
32.3500,25.8459,5.8459,2454.9333
32.4000,24.9012,4.9012,2278.7579
32.4500,24.2355,4.2355,2158.5389
