# ABAQUS Dynamic Analysis - Stress History at Element 1 Base
# Variable: SM2
time_s,SM2_Nm,sigma_bending_MPa
26.6734,21934.3398,16.161845
26.7234,22496.7930,16.576277
26.7734,23094.2754,17.016519
26.8234,23015.9805,16.958829
26.8734,21902.7715,16.138585
26.9234,20425.8008,15.050311
26.9734,18918.5234,13.939706
27.0234,17392.5547,12.815329
27.0734,15698.0771,11.566790
27.1234,13355.2168,9.840504
27.1734,10542.0850,7.767708
27.2234,8003.0288,5.896859
27.2734,5850.8315,4.311059
27.3234,3682.9587,2.713709
27.3734,1559.1641,1.148836
27.4234,-287.7693,0.212037
27.4734,-1970.7190,1.452082
27.5234,-3377.3342,2.488516
27.5734,-4346.2407,3.202434
27.6234,-5116.5107,3.769991
27.6734,-5485.7969,4.042091
27.7234,-4852.6704,3.575586
27.7734,-3582.4998,2.639688
27.8234,-2666.6348,1.964852
27.8734,-2083.9414,1.535507
27.9234,-691.0956,0.509219
27.9734,2044.8313,1.506690
28.0234,5049.7324,3.720786
28.0734,7153.6987,5.271049
28.1234,8758.3691,6.453415
28.1734,11110.2168,8.186324
28.2234,14223.7080,10.480433
28.2734,16840.8926,12.408849
28.3234,18249.2461,13.446564
28.3734,18883.9199,13.914209
28.4234,19702.4766,14.517345
28.4734,21113.7070,15.557180
28.5234,22262.2598,16.403466
28.5734,22013.2812,16.220012
28.6234,20489.4199,15.097187
28.6734,18834.2949,13.877644
28.7234,17651.5000,13.006127
28.7734,16441.6387,12.114667
28.8234,14601.7188,10.758962
28.8734,12228.0020,9.009940
28.9234,9707.1885,7.152533
28.9734,7146.2461,5.265557
29.0234,4401.1992,3.242929
29.0734,1394.8204,1.027743
29.1234,-1584.7325,1.167676
29.1734,-3955.7930,2.914741
29.2234,-5461.3120,4.024050
29.2734,-6576.3374,4.845632
29.3234,-7807.4053,5.752718
29.3734,-8814.4238,6.494718
29.4234,-9036.4268,6.658296
29.4734,-8549.0752,6.299202
29.5234,-7686.0586,5.663307
29.5734,-6764.0532,4.983947
29.6234,-5710.1338,4.207389
29.6734,-3773.6021,2.780497
29.7234,-811.9825,0.598292
29.7734,2158.1196,1.590164
29.8234,4442.9385,3.273683
29.8734,6548.3374,4.825001
29.9234,9235.7021,6.805128
29.9734,12378.5059,9.120835
30.0234,15199.8320,11.199669
30.0734,17351.7617,12.785272
30.1234,19399.7656,14.294299
30.1734,21697.3633,15.987234
30.2234,23377.3613,17.225105
30.2734,23730.6953,17.485451
30.3234,23478.6328,17.299724
30.3734,23546.3906,17.349650
30.4234,23763.4766,17.509605
30.4734,23547.6055,17.350545
30.5234,22736.3574,16.752795
30.5734,21210.5059,15.628504
30.6234,18791.2812,13.845950
30.6734,16109.0332,11.869594
30.7234,14196.4316,10.460335
30.7734,12832.1689,9.455107
30.8234,10810.3643,7.965384
30.8734,8161.0381,6.013285
30.9234,6442.7871,4.747229
30.9734,5822.6655,4.290306
31.0234,4791.5781,3.530571
31.0734,3127.8594,2.304696
31.1234,1968.1843,1.450214
31.1734,1827.5686,1.346605
31.2234,2184.3777,1.609512
31.2734,2305.6304,1.698854
31.3234,2225.8115,1.640041
31.3734,2937.7034,2.164583
31.4234,5135.3672,3.783885
31.4734,7961.6748,5.866388
31.5234,9771.6807,7.200052
31.5734,10677.5674,7.867535
31.6234,12200.7793,8.989881
31.6734,14339.5732,10.565805
31.7234,16056.8721,11.831160
31.7734,17127.7148,12.620187
31.8234,18094.1445,13.332280
31.8734,19329.6641,14.242646
31.9234,20355.9297,14.998828
31.9734,20710.4551,15.260052
32.0234,20738.5176,15.280730
32.0734,20483.6953,15.092969
32.1234,19420.4941,14.309572
32.1734,17884.8242,13.178047
32.2234,16888.5215,12.443943
32.2734,16605.5176,12.235418
32.3234,16013.1387,11.798936
32.3734,14089.4326,10.381495
32.4234,11232.0400,8.276087
32.4734,8789.6182,6.476441
32.5234,7146.7676,5.265942
32.5734,5476.7300,4.035410
32.6234,3714.7173,2.737109
32.6734,2710.4897,1.997166
32.7234,2150.6436,1.584655
32.7734,1102.5682,0.812404
32.8234,-30.5107,0.022481
32.8734,-303.8918,0.223916
32.9234,109.8990,0.080977
32.9734,389.7383,0.287170
33.0234,470.0832,0.346371
33.0734,862.3384,0.635395
33.1234,1935.9757,1.426482
33.1734,3709.3616,2.733163
33.2234,5594.4263,4.122132
33.2734,7126.7002,5.251155
33.3234,8493.8740,6.258528
33.3734,9649.0771,7.109714
33.4234,10522.8721,7.753551
33.4734,11592.2256,8.541481
33.5234,12964.0742,9.552299
33.5734,14276.6416,10.519436
33.6234,15362.8232,11.319765
33.6734,15945.0654,11.748778
33.7234,15737.2393,11.595645
33.7734,15232.9121,11.224043
33.8234,15077.3906,11.109450
33.8734,14963.1055,11.025242
33.9234,14269.7930,10.514389
33.9734,13054.1211,9.618648
34.0234,11739.2529,8.649815
34.0734,10384.8857,7.651879
34.1234,8896.4961,6.555191
34.1734,7360.0215,5.423073
34.2234,5768.9209,4.250705
34.2734,4315.3374,3.179663
34.3234,3196.5134,2.355282
34.3734,2019.7546,1.488213
34.4234,742.9050,0.547394
34.4734,-41.7411,0.030756
34.5234,-125.0911,0.092171
34.5734,55.6770,0.041024
34.6234,-17.0933,0.012595
34.6734,-60.5104,0.044586
34.7234,420.2086,0.309622
34.7734,1110.6549,0.818362
34.8234,1858.8319,1.369640
34.8734,3164.3247,2.331564
34.9234,4999.4111,3.683708
34.9734,6581.1768,4.849198
35.0234,7692.2695,5.667883
35.0734,8895.6406,6.554561
35.1234,10315.9180,7.601062
35.1734,11670.8311,8.599400
35.2234,12887.4561,9.495844
35.2734,13887.5859,10.232768
35.3234,14808.1240,10.911047
35.3734,15936.9580,11.742804
35.4234,16830.0820,12.400883
35.4734,16873.1836,12.432642
35.5234,16444.8457,12.117030
35.5734,16063.5146,11.836054
35.6234,15392.7871,11.341843
35.6734,14253.3271,10.502257
35.7234,13302.4600,9.801631
35.7734,12926.7617,9.524806
35.8234,12315.2041,9.074193
35.8734,10567.5840,7.786496
35.9234,8473.5381,6.243544
35.9734,7273.0112,5.358962
36.0234,6549.1108,4.825571
36.0734,5349.4346,3.941616
36.1234,3633.5503,2.677303
36.1734,1913.1498,1.409663
36.2234,822.4512,0.606005
36.2734,666.5760,0.491152
36.3234,895.0129,0.659471
36.3734,851.2990,0.627261
36.4234,588.4392,0.433579
36.4734,449.0833,0.330897
36.5234,988.9006,0.728650
36.5734,2498.1130,1.840681
36.6234,3895.9199,2.870625
36.6734,4360.7559,3.213129
36.7234,5061.5703,3.729509
36.7734,6770.0098,4.988336
36.8234,8619.8584,6.351357
36.8734,10269.8604,7.567125
36.9234,11989.8750,8.834481
36.9734,13501.2627,9.948114
37.0234,14688.9434,10.823231
37.0734,15958.8408,11.758928
37.1234,17360.5566,12.791752
37.1734,18231.8906,13.433776
37.2234,18183.3398,13.398002
37.2734,17685.1973,13.030956
37.3234,17288.2500,12.738474
37.3734,17221.8926,12.689580
37.4234,17188.3496,12.664865
37.4734,16316.6562,12.022576
37.5234,14512.7412,10.693400
37.5734,12983.9443,9.566939
37.6234,12276.0322,9.045330
37.6734,11280.1416,8.311529
37.7234,9201.6123,6.780010
37.7734,6829.5562,5.032211
37.8234,5119.7266,3.772360
37.8734,3875.9619,2.855919
37.9234,2539.0496,1.870844
37.9734,1253.1362,0.923346
38.0234,218.1318,0.160726
38.0734,-817.5756,0.602413
38.1234,-1774.9233,1.307814
38.1734,-2154.2825,1.587337
38.2234,-1942.7875,1.431501
38.2734,-1505.9304,1.109612
38.3234,-973.8676,0.717573
38.3734,-430.4599,0.317175
38.4234,40.2350,0.029646
38.4734,563.2216,0.414998
38.5234,1496.5419,1.102695
38.5734,2937.7878,2.164646
38.6234,4333.0400,3.192707
38.6734,5210.7002,3.839392
38.7234,5961.7056,4.392754
38.7734,7173.6738,5.285767
38.8234,8404.9961,6.193040
38.8734,9016.6885,6.643753
38.9234,9275.2354,6.834257
38.9734,9474.2100,6.980867
39.0234,9543.7305,7.032092
39.0734,9468.1328,6.976390
